Type of Customer (Wait to see where they go) ,Total Time on Property,Time spent in Queue,Time Spent At the Pump (0 if not at the pump at all),Time Spent in Store (0 if Not in the store),Time Entered,At Pump,Finish Pump,Leave,,Possible Customer Types,,
Store and Pump,0:04:58,0:00:49,0:02:29,0:01:30,0:17:27,0:18:16,0:20:45,0:22:15,0:22:25,,,
Store and Pump,0:05:09,0:00:42,0:02:23,0:01:52,0:17:38,0:18:20,0:20:43,0:22:35,0:22:47,,,
Pump Only,0:04:28,0:00:38,0:02:49,0:00:00,0:17:42,0:18:20,0:21:09,0:21:09,0:22:10,,,
Store and Pump,0:04:41,0:00:31,0:02:40,0:01:20,0:17:47,0:18:18,0:20:58,0:22:18,0:22:28,,,
Pump Only,0:04:31,0:02:00,0:02:22,0:00:00,0:18:08,0:20:08,0:22:30,0:22:30,0:22:39,,,
Pump Only,0:03:56,0:01:28,0:02:11,0:00:00,0:18:11,0:19:39,0:21:50,0:21:50,0:22:07,,,
Store and Pump,0:04:11,0:00:18,0:02:29,0:01:10,0:18:28,0:18:46,0:21:15,0:22:25,0:22:39,,,
Store and Pump,0:06:25,0:01:12,0:02:36,0:02:25,0:18:32,0:19:44,0:22:20,0:24:45,0:24:57,,,
Store Only,0:06:13,0:02:24,0:00:00,0:03:36,0:18:36,0:21:00,0:21:00,0:24:36,0:24:49,,,
Pump Only,0:05:31,0:02:19,0:02:57,0:00:00,0:18:41,0:21:00,0:23:57,0:23:57,0:24:12,,,
Store and Pump,0:06:48,0:03:24,0:02:17,0:00:58,0:19:28,0:22:52,0:25:09,0:26:07,0:26:16,,,
Store and Pump,0:03:01,0:00:17,0:01:03,0:01:24,0:20:07,0:20:24,0:21:27,0:22:51,0:23:08,,,
Store and Pump,0:07:10,0:01:04,0:02:53,0:02:45,0:20:13,0:21:17,0:24:10,0:26:55,0:27:23,,,
Pump Only,0:03:17,0:00:36,0:02:35,0:00:00,0:20:29,0:21:05,0:23:40,0:23:40,0:23:46,,,
Pump Only,0:03:15,0:01:02,0:01:43,0:00:00,0:20:40,0:21:42,0:23:25,0:23:25,0:23:55,,,
Pump Only,0:05:52,0:01:08,0:03:07,0:00:00,0:20:45,0:21:53,0:25:00,0:25:00,0:26:37,,,
Store and Pump,0:06:01,0:02:11,0:03:34,0:00:16,0:21:01,0:23:12,0:26:46,0:26:46,0:27:02,,,
Pump Only,0:05:00,0:01:35,0:03:13,0:00:00,0:21:10,0:22:45,0:25:58,0:25:58,0:26:10,,,
Store and Pump,0:06:50,0:02:31,0:02:24,0:01:42,0:21:21,0:23:52,0:26:16,0:27:58,0:28:11,,,
Store and Pump,0:07:00,0:03:56,0:01:32,0:00:58,0:22:19,0:26:15,0:27:47,0:28:45,0:29:19,,,
Pump Only,0:02:14,0:00:17,0:01:42,0:00:00,0:22:25,0:22:42,0:24:24,0:24:24,0:24:39,,,
Pump Only,0:06:04,0:02:08,0:03:29,0:00:00,0:22:51,0:24:59,0:28:28,0:28:28,0:28:55,,,
Pump Only,0:03:16,0:00:59,0:01:52,0:00:00,0:22:54,0:23:53,0:25:45,0:25:45,0:26:10,,,
Pump Only,0:05:09,0:02:58,0:00:57,0:00:45,0:23:25,0:26:23,0:27:20,0:28:05,0:28:34,,,
Store and Pump,0:05:08,0:00:33,0:01:51,0:02:12,0:23:32,0:24:05,0:25:56,0:28:08,0:28:40,,,
Pump Only,0:02:21,0:00:17,0:01:45,0:00:00,0:23:37,0:23:54,0:25:39,0:25:39,0:25:58,,,
Store and Pump,0:06:39,0:01:23,0:02:34,0:02:24,0:23:49,0:25:12,0:27:46,0:30:10,0:30:28,,,
Store and Pump,0:06:25,0:02:12,0:01:45,0:02:11,0:23:56,0:26:08,0:27:53,0:30:04,0:30:21,,,
Store and Pump,0:06:10,0:01:58,0:04:01,0:00:11,0:24:02,0:26:00,0:30:01,0:30:12,,,,
Pump Only,0:04:55,0:02:00,0:02:26,0:00:00,0:24:35,0:26:35,0:29:01,0:29:30,,,,
Store and Pump,0:03:18,0:00:12,0:02:59,0:01:00,0:24:42,0:24:54,0:27:53,0:28:00,,,,
Pump Only,0:01:54,0:01:02,0:00:45,0:00:00,0:25:24,0:26:26,0:27:11,0:27:18,,,,
Pump Only,0:04:51,0:02:59,0:01:44,0:00:00,0:25:57,0:28:56,0:30:40,0:30:48,,,,
Store and Pump,0:05:47,0:00:15,0:05:11,0:02:00,0:26:35,0:26:50,0:32:01,0:32:22,,,,
Pump Only,0:03:12,0:00:13,0:02:53,0:00:00,0:27:32,0:27:45,0:30:38,0:30:44,,,,
Store and Pump,0:03:19,0:00:08,0:03:03,0:02:00,0:28:40,0:28:48,0:31:51,0:31:59,,,,
Pump Only,0:00:50,0:00:11,0:00:31,0:00:00,0:28:48,0:28:59,0:29:30,0:29:38,,,,
Pump Only,0:04:39,0:00:25,0:03:50,0:00:00,0:29:35,0:30:00,0:33:50,0:34:14,,,,
Pump Only,0:02:38,0:00:31,0:02:00,0:00:00,0:29:44,0:30:15,0:32:15,0:32:22,,,,
Pump Only,0:02:40,0:00:36,0:01:58,0:00:00,0:29:46,0:30:22,0:32:20,0:32:26,,,,
Pump Only,0:04:21,0:00:32,0:03:42,0:00:00,0:29:50,0:30:22,0:34:04,0:34:11,,,,
Pump Only,0:03:54,0:02:13,0:01:33,0:00:00,0:30:08,0:32:21,0:33:54,0:34:02,,,,
Store and Pump,0:03:32,0:00:15,0:03:11,0:01:00,0:30:14,0:30:29,0:33:40,0:33:46,,,,
Pump Only,0:03:09,0:01:07,0:01:51,0:00:00,0:30:27,0:31:34,0:33:25,0:33:36,,,,
Pump Only,0:04:16,0:01:34,0:02:37,0:00:00,0:30:30,0:32:04,0:34:41,0:34:46,,,,
Pump Only,0:03:51,0:00:29,0:03:15,0:00:00,0:30:37,0:31:06,0:34:21,0:34:28,,,,
Pump Only,0:05:31,0:02:24,0:02:57,0:01:00,0:30:46,0:33:10,0:36:07,0:36:17,,,,
Store and Pump,0:02:58,0:01:13,0:01:39,0:00:06,0:31:30,0:32:43,0:34:22,0:34:28,,,,
Pump Only,0:04:43,0:01:39,0:02:58,0:00:00,0:31:43,0:33:22,0:36:20,0:36:26,,,,
Pump Only,0:03:26,0:00:30,0:02:50,0:00:00,0:33:00,0:33:30,0:36:20,0:36:26,,,,
Pump Only,0:03:20,0:00:32,0:02:42,0:00:00,0:33:06,0:33:38,0:36:20,0:36:26,,,,
Pump Only,0:00:01,0:00:00,0:00:00,0:00:00,0:33:13,0:33:13,0:33:13,0:33:14,,,,
Pump Only,0:04:27,0:00:16,0:04:01,0:00:00,0:34:03,0:34:19,0:38:20,0:38:30,,,,
Pump Only,0:03:58,0:00:14,0:03:34,0:00:00,0:34:12,0:34:26,0:38:00,0:38:10,,,,
Store and Pump,0:03:03,0:00:14,0:02:36,0:01:00,0:34:30,0:34:44,0:37:20,0:37:33,,,,
Pump Only,0:05:27,0:00:07,0:05:10,0:03:00,0:35:03,0:35:10,0:40:20,0:40:30,,,,
Pump Only,0:02:33,0:00:09,0:01:56,0:00:00,0:36:00,0:36:09,0:38:05,0:38:33,,,,
Pump Only,0:04:53,0:00:13,0:02:52,0:00:00,0:36:56,0:37:09,0:40:01,0:41:49,,,,
Pump Only,0:04:12,0:00:11,0:03:14,0:00:00,0:37:53,0:38:04,0:41:18,0:42:05,,,,
Pump Only,0:02:21,0:00:11,0:01:50,0:00:00,0:37:54,0:38:05,0:39:55,0:40:15,,,,
Pump Only,0:03:08,0:00:09,0:02:42,0:00:00,0:38:22,0:38:31,0:41:13,0:41:30,,,,
Pump Only,0:02:35,0:00:11,0:01:26,0:00:00,0:38:25,0:38:36,0:40:02,0:41:00,,,,
Pump Only,0:04:32,0:00:17,0:03:59,0:00:00,0:38:54,0:39:11,0:43:10,0:43:26,,,,
Store and Pump,0:05:06,0:00:10,0:02:51,0:02:05,0:39:04,0:39:14,0:42:05,0:44:10,,,,
Pump Only,0:02:22,0:00:18,0:01:54,0:00:00,0:39:06,0:39:24,0:41:18,0:41:28,,,,
Pump Only,0:02:28,0:00:10,0:02:05,0:00:00,0:39:32,0:39:42,0:41:47,0:42:00,,,,
Pump Only,0:04:57,0:00:11,0:03:59,0:00:00,0:40:02,0:40:13,0:44:12,0:44:59,,,,
Pump Only,0:01:37,0:00:33,0:01:01,0:00:00,0:40:07,0:40:40,0:41:41,0:41:44,,,,
Pump Only,0:02:13,0:00:27,0:01:42,0:00:00,0:40:12,0:40:39,0:42:21,0:42:25,,,,
Pump Only,0:06:18,0:00:08,0:03:10,0:00:00,0:40:35,0:40:43,0:43:53,0:46:53,,,,
Pump Only,0:02:58,0:00:07,0:02:32,0:00:00,0:40:55,0:41:02,0:43:34,0:43:53,,,,
